STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TOBS
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,6/8/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,6/9/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,6/10/10,0,79
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,6/11/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,6/12/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,6/13/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,6/14/10,0,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,6/15/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,6/16/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,6/17/10,0,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,6/18/10,0,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,6/19/10,0,82
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,6/20/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,6/21/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,6/22/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,6/23/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,6/24/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,6/25/10,0,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,6/26/10,0.02,76
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,6/27/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,6/28/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,6/29/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,6/30/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,7/1/10,0.01,75
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,7/2/10,0.05,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,7/3/10,0.09,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,7/4/10,0.05,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,7/5/10,0.06,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,7/6/10,0.08,76
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,7/7/10,0.08,74
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,7/8/10,0.03,76
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,7/9/10,0.06,74
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,7/10/10,0.09,76
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,7/11/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,7/12/10,0,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,7/13/10,0,80
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,7/16/10,,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,7/17/10,0.02,76
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,7/18/10,0,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,7/19/10,0.04,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,7/21/10,0,80
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,7/22/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,7/24/10,0,80
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,7/25/10,0,79
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,7/26/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,7/27/10,0,79
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,7/28/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,7/29/10,0,79
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,7/30/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,7/31/10,0.02,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,8/1/10,0.04,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,8/2/10,0.01,76
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,8/3/10,0.02,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,8/4/10,0.07,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,8/5/10,0.08,75
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,8/6/10,0.03,75
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,8/7/10,0,80
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,8/8/10,0,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,8/9/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,8/10/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,8/11/10,0,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,8/12/10,0,76
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,8/13/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,8/14/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,8/15/10,0.01,76
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,8/16/10,0,76
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,8/17/10,0.05,74
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,8/18/10,0,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,8/19/10,0,79
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,8/20/10,0,79
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,8/21/10,0,79
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,8/22/10,0,75
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,8/23/10,0.01,87
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,8/24/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,8/25/10,0.04,76
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,8/26/10,0.03,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,8/27/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,8/28/10,0.04,79
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,8/29/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,8/30/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,8/31/10,0,80
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,9/1/10,0,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,9/2/10,0.02,76
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,9/3/10,0.04,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,9/4/10,0.01,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,9/5/10,0,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,9/6/10,0,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,9/7/10,0.06,76
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,9/8/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,9/9/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,9/10/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,9/11/10,0.05,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,9/12/10,0,74
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,9/13/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,9/14/10,0,79
